disease,county,year,count
Diphtheria,Alameda,2001,0
Diphtheria,Alameda,2002,0
Diphtheria,Alameda,2003,0
Diphtheria,Alameda,2004,0
Diphtheria,Alameda,2005,0
Diphtheria,Alameda,2006,0
Diphtheria,Alameda,2007,0
Diphtheria,Alameda,2008,0
Diphtheria,Alameda,2009,0
Diphtheria,Alameda,2010,0
Diphtheria,Alameda,2011,0
Diphtheria,Alameda,2012,0
Diphtheria,Alameda,2013,0
Diphtheria,Alameda,2014,0
Diphtheria,Alameda,2015,0
Diphtheria,Alameda,2016,0
Diphtheria,Alameda,2017,0
Diphtheria,Alameda,2018,0
Diphtheria,Alpine,2001,0
Diphtheria,Alpine,2002,0
Diphtheria,Alpine,2003,0
Diphtheria,Alpine,2004,0
Diphtheria,Alpine,2005,0
Diphtheria,Alpine,2006,0
Diphtheria,Alpine,2007,0
Diphtheria,Alpine,2008,0
Diphtheria,Alpine,2009,0
Diphtheria,Alpine,2010,0
Diphtheria,Alpine,2011,0
Diphtheria,Alpine,2012,0
Diphtheria,Alpine,2013,0
Diphtheria,Alpine,2014,0
Diphtheria,Alpine,2015,0
Diphtheria,Alpine,2016,0
Diphtheria,Alpine,2017,0
Diphtheria,Alpine,2018,0
Diphtheria,Amador,2001,0
Diphtheria,Amador,2002,0
Diphtheria,Amador,2003,0
Diphtheria,Amador,2004,0
Diphtheria,Amador,2005,0
Diphtheria,Amador,2006,0
Diphtheria,Amador,2007,0
Diphtheria,Amador,2008,0
Diphtheria,Amador,2009,0
Diphtheria,Amador,2010,0
Diphtheria,Amador,2011,0
Diphtheria,Amador,2012,0
Diphtheria,Amador,2013,0
Diphtheria,Amador,2014,0
Diphtheria,Amador,2015,0
Diphtheria,Amador,2016,0
Diphtheria,Amador,2017,0
Diphtheria,Amador,2018,0
Diphtheria,Butte,2001,0
Diphtheria,Butte,2002,0
Diphtheria,Butte,2003,0
Diphtheria,Butte,2004,0
Diphtheria,Butte,2005,0
Diphtheria,Butte,2006,0
Diphtheria,Butte,2007,0
Diphtheria,Butte,2008,0
Diphtheria,Butte,2009,0
Diphtheria,Butte,2010,0
Diphtheria,Butte,2011,0
Diphtheria,Butte,2012,0
Diphtheria,Butte,2013,0
Diphtheria,Butte,2014,0
Diphtheria,Butte,2015,0
Diphtheria,Butte,2016,0
Diphtheria,Butte,2017,0
Diphtheria,Butte,2018,0
Diphtheria,Calaveras,2001,0
Diphtheria,Calaveras,2002,0
Diphtheria,Calaveras,2003,0
Diphtheria,Calaveras,2004,0
Diphtheria,Calaveras,2005,0
Diphtheria,Calaveras,2006,0
Diphtheria,Calaveras,2007,0
Diphtheria,Calaveras,2008,0
Diphtheria,Calaveras,2009,0
Diphtheria,Calaveras,2010,0
Diphtheria,Calaveras,2011,0
Diphtheria,Calaveras,2012,0
Diphtheria,Calaveras,2013,0
Diphtheria,Calaveras,2014,0
Diphtheria,Calaveras,2015,0
Diphtheria,Calaveras,2016,0
Diphtheria,Calaveras,2017,0
Diphtheria,Calaveras,2018,0
Diphtheria,California,2001,0
Diphtheria,California,2002,1
Diphtheria,California,2003,0
Diphtheria,California,2004,0
Diphtheria,California,2005,0
Diphtheria,California,2006,0
Diphtheria,California,2007,0
Diphtheria,California,2008,0
Diphtheria,California,2009,0
Diphtheria,California,2010,0
Diphtheria,California,2011,0
Diphtheria,California,2012,0
Diphtheria,California,2013,0
Diphtheria,California,2014,0
Diphtheria,California,2015,0
Diphtheria,California,2016,0
Diphtheria,California,2017,0
Diphtheria,California,2018,0
Diphtheria,Colusa,2001,0
Diphtheria,Colusa,2002,0
Diphtheria,Colusa,2003,0
Diphtheria,Colusa,2004,0
Diphtheria,Colusa,2005,0
Diphtheria,Colusa,2006,0
Diphtheria,Colusa,2007,0
Diphtheria,Colusa,2008,0
Diphtheria,Colusa,2009,0
Diphtheria,Colusa,2010,0
Diphtheria,Colusa,2011,0
Diphtheria,Colusa,2012,0
Diphtheria,Colusa,2013,0
Diphtheria,Colusa,2014,0
Diphtheria,Colusa,2015,0
Diphtheria,Colusa,2016,0
Diphtheria,Colusa,2017,0
Diphtheria,Colusa,2018,0
Diphtheria,Contra Costa,2001,0
Diphtheria,Contra Costa,2002,0
Diphtheria,Contra Costa,2003,0
Diphtheria,Contra Costa,2004,0
Diphtheria,Contra Costa,2005,0
Diphtheria,Contra Costa,2006,0
Diphtheria,Contra Costa,2007,0
Diphtheria,Contra Costa,2008,0
Diphtheria,Contra Costa,2009,0
Diphtheria,Contra Costa,2010,0
Diphtheria,Contra Costa,2011,0
Diphtheria,Contra Costa,2012,0
Diphtheria,Contra Costa,2013,0
Diphtheria,Contra Costa,2014,0
Diphtheria,Contra Costa,2015,0
Diphtheria,Contra Costa,2016,0
Diphtheria,Contra Costa,2017,0
Diphtheria,Contra Costa,2018,0
Diphtheria,Del Norte,2001,0
Diphtheria,Del Norte,2002,0
Diphtheria,Del Norte,2003,0
Diphtheria,Del Norte,2004,0
Diphtheria,Del Norte,2005,0
Diphtheria,Del Norte,2006,0
Diphtheria,Del Norte,2007,0
Diphtheria,Del Norte,2008,0
Diphtheria,Del Norte,2009,0
Diphtheria,Del Norte,2010,0
Diphtheria,Del Norte,2011,0
Diphtheria,Del Norte,2012,0
Diphtheria,Del Norte,2013,0
Diphtheria,Del Norte,2014,0
Diphtheria,Del Norte,2015,0
Diphtheria,Del Norte,2016,0
Diphtheria,Del Norte,2017,0
Diphtheria,Del Norte,2018,0
Diphtheria,El Dorado,2001,0
Diphtheria,El Dorado,2002,0
Diphtheria,El Dorado,2003,0
Diphtheria,El Dorado,2004,0
Diphtheria,El Dorado,2005,0
Diphtheria,El Dorado,2006,0
Diphtheria,El Dorado,2007,0
Diphtheria,El Dorado,2008,0
Diphtheria,El Dorado,2009,0
Diphtheria,El Dorado,2010,0
Diphtheria,El Dorado,2011,0
Diphtheria,El Dorado,2012,0
Diphtheria,El Dorado,2013,0
Diphtheria,El Dorado,2014,0
Diphtheria,El Dorado,2015,0
Diphtheria,El Dorado,2016,0
Diphtheria,El Dorado,2017,0
Diphtheria,El Dorado,2018,0
Diphtheria,Fresno,2001,0
Diphtheria,Fresno,2002,0
Diphtheria,Fresno,2003,0
Diphtheria,Fresno,2004,0
Diphtheria,Fresno,2005,0
Diphtheria,Fresno,2006,0
Diphtheria,Fresno,2007,0
Diphtheria,Fresno,2008,0
Diphtheria,Fresno,2009,0
Diphtheria,Fresno,2010,0
Diphtheria,Fresno,2011,0
Diphtheria,Fresno,2012,0
Diphtheria,Fresno,2013,0
Diphtheria,Fresno,2014,0
Diphtheria,Fresno,2015,0
Diphtheria,Fresno,2016,0
Diphtheria,Fresno,2017,0
Diphtheria,Fresno,2018,0
Diphtheria,Glenn,2001,0
Diphtheria,Glenn,2002,0
Diphtheria,Glenn,2003,0
Diphtheria,Glenn,2004,0
Diphtheria,Glenn,2005,0
Diphtheria,Glenn,2006,0
Diphtheria,Glenn,2007,0
Diphtheria,Glenn,2008,0
Diphtheria,Glenn,2009,0
Diphtheria,Glenn,2010,0
Diphtheria,Glenn,2011,0
Diphtheria,Glenn,2012,0
Diphtheria,Glenn,2013,0
Diphtheria,Glenn,2014,0
Diphtheria,Glenn,2015,0
Diphtheria,Glenn,2016,0
Diphtheria,Glenn,2017,0
Diphtheria,Glenn,2018,0
Diphtheria,Humboldt,2001,0
Diphtheria,Humboldt,2002,0
Diphtheria,Humboldt,2003,0
Diphtheria,Humboldt,2004,0
Diphtheria,Humboldt,2005,0
Diphtheria,Humboldt,2006,0
Diphtheria,Humboldt,2007,0
Diphtheria,Humboldt,2008,0
Diphtheria,Humboldt,2009,0
Diphtheria,Humboldt,2010,0
Diphtheria,Humboldt,2011,0
Diphtheria,Humboldt,2012,0
Diphtheria,Humboldt,2013,0
Diphtheria,Humboldt,2014,0
Diphtheria,Humboldt,2015,0
Diphtheria,Humboldt,2016,0
Diphtheria,Humboldt,2017,0
Diphtheria,Humboldt,2018,0
Diphtheria,Imperial,2001,0
Diphtheria,Imperial,2002,0
Diphtheria,Imperial,2003,0
Diphtheria,Imperial,2004,0
Diphtheria,Imperial,2005,0
Diphtheria,Imperial,2006,0
Diphtheria,Imperial,2007,0
Diphtheria,Imperial,2008,0
Diphtheria,Imperial,2009,0
Diphtheria,Imperial,2010,0
Diphtheria,Imperial,2011,0
Diphtheria,Imperial,2012,0
Diphtheria,Imperial,2013,0
Diphtheria,Imperial,2014,0
Diphtheria,Imperial,2015,0
Diphtheria,Imperial,2016,0
Diphtheria,Imperial,2017,0
Diphtheria,Imperial,2018,0
Diphtheria,Inyo,2001,0
Diphtheria,Inyo,2002,0
Diphtheria,Inyo,2003,0
Diphtheria,Inyo,2004,0
Diphtheria,Inyo,2005,0
Diphtheria,Inyo,2006,0
Diphtheria,Inyo,2007,0
Diphtheria,Inyo,2008,0
Diphtheria,Inyo,2009,0
Diphtheria,Inyo,2010,0
Diphtheria,Inyo,2011,0
Diphtheria,Inyo,2012,0
Diphtheria,Inyo,2013,0
Diphtheria,Inyo,2014,0
Diphtheria,Inyo,2015,0
Diphtheria,Inyo,2016,0
Diphtheria,Inyo,2017,0
Diphtheria,Inyo,2018,0
Diphtheria,Kern,2001,0
Diphtheria,Kern,2002,0
Diphtheria,Kern,2003,0
Diphtheria,Kern,2004,0
Diphtheria,Kern,2005,0
Diphtheria,Kern,2006,0
Diphtheria,Kern,2007,0
Diphtheria,Kern,2008,0
Diphtheria,Kern,2009,0
Diphtheria,Kern,2010,0
Diphtheria,Kern,2011,0
Diphtheria,Kern,2012,0
Diphtheria,Kern,2013,0
Diphtheria,Kern,2014,0
Diphtheria,Kern,2015,0
Diphtheria,Kern,2016,0
Diphtheria,Kern,2017,0
Diphtheria,Kern,2018,0
Diphtheria,Kings,2001,0
Diphtheria,Kings,2002,0
Diphtheria,Kings,2003,0
Diphtheria,Kings,2004,0
Diphtheria,Kings,2005,0
Diphtheria,Kings,2006,0
Diphtheria,Kings,2007,0
Diphtheria,Kings,2008,0
Diphtheria,Kings,2009,0
Diphtheria,Kings,2010,0
Diphtheria,Kings,2011,0
Diphtheria,Kings,2012,0
Diphtheria,Kings,2013,0
Diphtheria,Kings,2014,0
Diphtheria,Kings,2015,0
Diphtheria,Kings,2016,0
Diphtheria,Kings,2017,0
Diphtheria,Kings,2018,0
Diphtheria,Lake,2001,0
Diphtheria,Lake,2002,0
Diphtheria,Lake,2003,0
Diphtheria,Lake,2004,0
Diphtheria,Lake,2005,0
Diphtheria,Lake,2006,0
Diphtheria,Lake,2007,0
Diphtheria,Lake,2008,0
Diphtheria,Lake,2009,0
Diphtheria,Lake,2010,0
Diphtheria,Lake,2011,0
Diphtheria,Lake,2012,0
Diphtheria,Lake,2013,0
Diphtheria,Lake,2014,0
Diphtheria,Lake,2015,0
Diphtheria,Lake,2016,0
Diphtheria,Lake,2017,0
Diphtheria,Lake,2018,0
Diphtheria,Lassen,2001,0
Diphtheria,Lassen,2002,0
Diphtheria,Lassen,2003,0
Diphtheria,Lassen,2004,0
Diphtheria,Lassen,2005,0
Diphtheria,Lassen,2006,0
Diphtheria,Lassen,2007,0
Diphtheria,Lassen,2008,0
Diphtheria,Lassen,2009,0
Diphtheria,Lassen,2010,0
Diphtheria,Lassen,2011,0
Diphtheria,Lassen,2012,0
Diphtheria,Lassen,2013,0
Diphtheria,Lassen,2014,0
Diphtheria,Lassen,2015,0
Diphtheria,Lassen,2016,0
Diphtheria,Lassen,2017,0
Diphtheria,Lassen,2018,0
Diphtheria,Los Angeles,2001,0
Diphtheria,Los Angeles,2002,0
Diphtheria,Los Angeles,2003,0
Diphtheria,Los Angeles,2004,0
Diphtheria,Los Angeles,2005,0
Diphtheria,Los Angeles,2006,0
Diphtheria,Los Angeles,2007,0
Diphtheria,Los Angeles,2008,0
Diphtheria,Los Angeles,2009,0
Diphtheria,Los Angeles,2010,0
Diphtheria,Los Angeles,2011,0
Diphtheria,Los Angeles,2012,0
Diphtheria,Los Angeles,2013,0
Diphtheria,Los Angeles,2014,0
Diphtheria,Los Angeles,2015,0
Diphtheria,Los Angeles,2016,0
Diphtheria,Los Angeles,2017,0
Diphtheria,Los Angeles,2018,0
Diphtheria,Madera,2001,0
Diphtheria,Madera,2002,0
Diphtheria,Madera,2003,0
Diphtheria,Madera,2004,0
Diphtheria,Madera,2005,0
Diphtheria,Madera,2006,0
Diphtheria,Madera,2007,0
Diphtheria,Madera,2008,0
Diphtheria,Madera,2009,0
Diphtheria,Madera,2010,0
Diphtheria,Madera,2011,0
Diphtheria,Madera,2012,0
Diphtheria,Madera,2013,0
Diphtheria,Madera,2014,0
Diphtheria,Madera,2015,0
Diphtheria,Madera,2016,0
Diphtheria,Madera,2017,0
Diphtheria,Madera,2018,0
Diphtheria,Marin,2001,0
Diphtheria,Marin,2002,0
Diphtheria,Marin,2003,0
Diphtheria,Marin,2004,0
Diphtheria,Marin,2005,0
Diphtheria,Marin,2006,0
Diphtheria,Marin,2007,0
Diphtheria,Marin,2008,0
Diphtheria,Marin,2009,0
Diphtheria,Marin,2010,0
Diphtheria,Marin,2011,0
Diphtheria,Marin,2012,0
Diphtheria,Marin,2013,0
Diphtheria,Marin,2014,0
Diphtheria,Marin,2015,0
Diphtheria,Marin,2016,0
Diphtheria,Marin,2017,0
Diphtheria,Marin,2018,0
Diphtheria,Mariposa,2001,0
Diphtheria,Mariposa,2002,0
Diphtheria,Mariposa,2003,0
Diphtheria,Mariposa,2004,0
Diphtheria,Mariposa,2005,0
Diphtheria,Mariposa,2006,0
Diphtheria,Mariposa,2007,0
Diphtheria,Mariposa,2008,0
Diphtheria,Mariposa,2009,0
Diphtheria,Mariposa,2010,0
Diphtheria,Mariposa,2011,0
Diphtheria,Mariposa,2012,0
Diphtheria,Mariposa,2013,0
Diphtheria,Mariposa,2014,0
Diphtheria,Mariposa,2015,0
Diphtheria,Mariposa,2016,0
Diphtheria,Mariposa,2017,0
Diphtheria,Mariposa,2018,0
Diphtheria,Mendocino,2001,0
Diphtheria,Mendocino,2002,0
Diphtheria,Mendocino,2003,0
Diphtheria,Mendocino,2004,0
Diphtheria,Mendocino,2005,0
Diphtheria,Mendocino,2006,0
Diphtheria,Mendocino,2007,0
Diphtheria,Mendocino,2008,0
Diphtheria,Mendocino,2009,0
Diphtheria,Mendocino,2010,0
Diphtheria,Mendocino,2011,0
Diphtheria,Mendocino,2012,0
Diphtheria,Mendocino,2013,0
Diphtheria,Mendocino,2014,0
Diphtheria,Mendocino,2015,0
Diphtheria,Mendocino,2016,0
Diphtheria,Mendocino,2017,0
Diphtheria,Mendocino,2018,0
Diphtheria,Merced,2001,0
Diphtheria,Merced,2002,0
Diphtheria,Merced,2003,0
Diphtheria,Merced,2004,0
Diphtheria,Merced,2005,0
Diphtheria,Merced,2006,0
Diphtheria,Merced,2007,0
Diphtheria,Merced,2008,0
Diphtheria,Merced,2009,0
Diphtheria,Merced,2010,0
Diphtheria,Merced,2011,0
Diphtheria,Merced,2012,0
Diphtheria,Merced,2013,0
Diphtheria,Merced,2014,0
Diphtheria,Merced,2015,0
Diphtheria,Merced,2016,0
Diphtheria,Merced,2017,0
Diphtheria,Merced,2018,0
Diphtheria,Modoc,2001,0
Diphtheria,Modoc,2002,0
Diphtheria,Modoc,2003,0
Diphtheria,Modoc,2004,0
Diphtheria,Modoc,2005,0
Diphtheria,Modoc,2006,0
Diphtheria,Modoc,2007,0
Diphtheria,Modoc,2008,0
Diphtheria,Modoc,2009,0
Diphtheria,Modoc,2010,0
Diphtheria,Modoc,2011,0
Diphtheria,Modoc,2012,0
Diphtheria,Modoc,2013,0
Diphtheria,Modoc,2014,0
Diphtheria,Modoc,2015,0
Diphtheria,Modoc,2016,0
Diphtheria,Modoc,2017,0
Diphtheria,Modoc,2018,0
Diphtheria,Mono,2001,0
Diphtheria,Mono,2002,0
Diphtheria,Mono,2003,0
Diphtheria,Mono,2004,0
Diphtheria,Mono,2005,0
Diphtheria,Mono,2006,0
Diphtheria,Mono,2007,0
Diphtheria,Mono,2008,0
Diphtheria,Mono,2009,0
Diphtheria,Mono,2010,0
Diphtheria,Mono,2011,0
Diphtheria,Mono,2012,0
Diphtheria,Mono,2013,0
Diphtheria,Mono,2014,0
Diphtheria,Mono,2015,0
Diphtheria,Mono,2016,0
Diphtheria,Mono,2017,0
Diphtheria,Mono,2018,0
Diphtheria,Monterey,2001,0
Diphtheria,Monterey,2002,0
Diphtheria,Monterey,2003,0
Diphtheria,Monterey,2004,0
Diphtheria,Monterey,2005,0
Diphtheria,Monterey,2006,0
Diphtheria,Monterey,2007,0
Diphtheria,Monterey,2008,0
Diphtheria,Monterey,2009,0
Diphtheria,Monterey,2010,0
Diphtheria,Monterey,2011,0
Diphtheria,Monterey,2012,0
Diphtheria,Monterey,2013,0
Diphtheria,Monterey,2014,0
Diphtheria,Monterey,2015,0
Diphtheria,Monterey,2016,0
Diphtheria,Monterey,2017,0
Diphtheria,Monterey,2018,0
Diphtheria,Napa,2001,0
Diphtheria,Napa,2002,0
Diphtheria,Napa,2003,0
Diphtheria,Napa,2004,0
Diphtheria,Napa,2005,0
Diphtheria,Napa,2006,0
Diphtheria,Napa,2007,0
Diphtheria,Napa,2008,0
Diphtheria,Napa,2009,0
Diphtheria,Napa,2010,0
Diphtheria,Napa,2011,0
Diphtheria,Napa,2012,0
Diphtheria,Napa,2013,0
Diphtheria,Napa,2014,0
Diphtheria,Napa,2015,0
Diphtheria,Napa,2016,0
Diphtheria,Napa,2017,0
Diphtheria,Napa,2018,0
Diphtheria,Nevada,2001,0
Diphtheria,Nevada,2002,0
Diphtheria,Nevada,2003,0
Diphtheria,Nevada,2004,0
Diphtheria,Nevada,2005,0
Diphtheria,Nevada,2006,0
Diphtheria,Nevada,2007,0
Diphtheria,Nevada,2008,0
Diphtheria,Nevada,2009,0
Diphtheria,Nevada,2010,0
Diphtheria,Nevada,2011,0
Diphtheria,Nevada,2012,0
Diphtheria,Nevada,2013,0
Diphtheria,Nevada,2014,0
Diphtheria,Nevada,2015,0
Diphtheria,Nevada,2016,0
Diphtheria,Nevada,2017,0
Diphtheria,Nevada,2018,0
Diphtheria,Orange,2001,0
Diphtheria,Orange,2002,0
Diphtheria,Orange,2003,0
Diphtheria,Orange,2004,0
Diphtheria,Orange,2005,0
Diphtheria,Orange,2006,0
Diphtheria,Orange,2007,0
Diphtheria,Orange,2008,0
Diphtheria,Orange,2009,0
Diphtheria,Orange,2010,0
Diphtheria,Orange,2011,0
Diphtheria,Orange,2012,0
Diphtheria,Orange,2013,0
Diphtheria,Orange,2014,0
Diphtheria,Orange,2015,0
Diphtheria,Orange,2016,0
Diphtheria,Orange,2017,0
Diphtheria,Orange,2018,0
Diphtheria,Placer,2001,0
Diphtheria,Placer,2002,0
Diphtheria,Placer,2003,0
Diphtheria,Placer,2004,0
Diphtheria,Placer,2005,0
Diphtheria,Placer,2006,0
Diphtheria,Placer,2007,0
Diphtheria,Placer,2008,0
Diphtheria,Placer,2009,0
Diphtheria,Placer,2010,0
Diphtheria,Placer,2011,0
Diphtheria,Placer,2012,0
Diphtheria,Placer,2013,0
Diphtheria,Placer,2014,0
Diphtheria,Placer,2015,0
Diphtheria,Placer,2016,0
Diphtheria,Placer,2017,0
Diphtheria,Placer,2018,0
Diphtheria,Plumas,2001,0
Diphtheria,Plumas,2002,0
Diphtheria,Plumas,2003,0
Diphtheria,Plumas,2004,0
Diphtheria,Plumas,2005,0
Diphtheria,Plumas,2006,0
Diphtheria,Plumas,2007,0
Diphtheria,Plumas,2008,0
Diphtheria,Plumas,2009,0
Diphtheria,Plumas,2010,0
Diphtheria,Plumas,2011,0
Diphtheria,Plumas,2012,0
Diphtheria,Plumas,2013,0
Diphtheria,Plumas,2014,0
Diphtheria,Plumas,2015,0
Diphtheria,Plumas,2016,0
Diphtheria,Plumas,2017,0
Diphtheria,Plumas,2018,0
Diphtheria,Riverside,2001,0
Diphtheria,Riverside,2002,0
Diphtheria,Riverside,2003,0
Diphtheria,Riverside,2004,0
Diphtheria,Riverside,2005,0
Diphtheria,Riverside,2006,0
Diphtheria,Riverside,2007,0
Diphtheria,Riverside,2008,0
Diphtheria,Riverside,2009,0
Diphtheria,Riverside,2010,0
Diphtheria,Riverside,2011,0
Diphtheria,Riverside,2012,0
Diphtheria,Riverside,2013,0
Diphtheria,Riverside,2014,0
Diphtheria,Riverside,2015,0
Diphtheria,Riverside,2016,0
Diphtheria,Riverside,2017,0
Diphtheria,Riverside,2018,0
Diphtheria,Sacramento,2001,0
Diphtheria,Sacramento,2002,0
Diphtheria,Sacramento,2003,0
Diphtheria,Sacramento,2004,0
Diphtheria,Sacramento,2005,0
Diphtheria,Sacramento,2006,0
Diphtheria,Sacramento,2007,0
Diphtheria,Sacramento,2008,0
Diphtheria,Sacramento,2009,0
Diphtheria,Sacramento,2010,0
Diphtheria,Sacramento,2011,0
Diphtheria,Sacramento,2012,0
Diphtheria,Sacramento,2013,0
Diphtheria,Sacramento,2014,0
Diphtheria,Sacramento,2015,0
Diphtheria,Sacramento,2016,0
Diphtheria,Sacramento,2017,0
Diphtheria,Sacramento,2018,0
Diphtheria,San Benito,2001,0
Diphtheria,San Benito,2002,0
Diphtheria,San Benito,2003,0
Diphtheria,San Benito,2004,0
Diphtheria,San Benito,2005,0
Diphtheria,San Benito,2006,0
Diphtheria,San Benito,2007,0
Diphtheria,San Benito,2008,0
Diphtheria,San Benito,2009,0
Diphtheria,San Benito,2010,0
Diphtheria,San Benito,2011,0
Diphtheria,San Benito,2012,0
Diphtheria,San Benito,2013,0
